ds,yhat
2023-01-01,488.62380902506254
2023-01-02,491.326405098936
2023-01-03,493.3338156270103
2023-01-04,492.1463168838435
2023-01-05,490.73292938542465
2023-01-06,485.703959070881
2023-01-07,489.94947752812755
2023-01-08,485.01775755381084
2023-01-09,487.4126854987997
2023-01-10,489.22399471558083
2023-01-11,487.95438518016493
2023-01-12,486.57269751564957
2023-01-13,481.6865015665221
2023-01-14,486.1806861681759
2023-01-15,481.59606278046135
2023-01-16,484.42699933492446
2023-01-17,486.7519221789248
2023-01-18,486.06074361085007
2023-01-19,485.30837472379574
2023-01-20,481.08767450400046
2023-01-21,486.2684121855616
2023-01-22,482.376245711906
2023-01-23,485.8907229237708
2023-01-24,488.8761339770202
2023-01-25,488.80926370091044
2023-01-26,488.6331956569466
2023-01-27,484.93051191614694
2023-01-28,490.562459829551
2023-01-29,487.048084256386
2023-01-30,490.86232892243913
2023-01-31,494.06693396299136
2023-02-01,494.13817842694226
2023-02-02,494.02062105712315
2023-02-03,490.30018634336943
2023-02-04,495.84317141998486
2023-02-05,492.1751777477785
2023-02-06,495.77897773698885
2023-02-07,498.7251506606412
2023-02-08,498.4995445259099
2023-02-09,498.05672547388514
2023-02-10,493.9927700898099
2023-02-11,499.1839844703269
2023-02-12,495.1655619254769
2023-02-13,498.4291968511904
2023-02-14,501.0534957462008
2023-02-15,500.5312477344384
2023-02-16,499.82272078244495
2023-02-17,495.52834242173446
2023-02-18,500.5273509879117
2023-02-19,496.3564301106881
2023-02-20,499.5073435403905
2023-02-21,502.05740956122315
2023-02-22,501.4968744279709
2023-02-23,500.78234699389105
2023-02-24,496.5096483575236
2023-02-25,501.5526567562463
2023-02-26,497.44215403803406
2023-02-27,500.66368397199386
2023-02-28,503.2882546068085
2023-03-01,502.7999370662076
